WARNING 2024-02-19 22:39:54,637 basehttp 16072 24868 "GET /recipes/index/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 404 2393
WARNING 2024-02-19 22:39:54,641 log 16072 21596 Not Found: /recipes/index/js/popper.min.js
WARNING 2024-02-19 22:39:54,642 log 16072 17244 Not Found: /recipes/index/images/bg_2.jpg
WARNING 2024-02-19 22:39:54,643 log 16072 6100 Not Found: /recipes/index/js/bootstrap.min.js
WARNING 2024-02-19 22:39:54,644 log 16072 18444 Not Found: /recipes/index/js/jquery.easing.1.3.js
WARNING 2024-02-19 22:39:54,646 basehttp 16072 21596 "GET /recipes/index/js/popper.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:54,646 basehttp 16072 17244 "GET /recipes/index/images/bg_2.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:54,647 basehttp 16072 6100 "GET /recipes/index/js/bootstrap.min.js HTTP/1.1" 404 2360
WARNING 2024-02-19 22:39:54,647 basehttp 16072 18444 "GET /recipes/index/js/jquery.easing.1.3.js HTTP/1.1" 404 2372
WARNING 2024-02-19 22:39:54,649 log 16072 9528 Not Found: /recipes/index/images/image_2.jpg
WARNING 2024-02-19 22:39:54,661 basehttp 16072 9528 "GET /recipes/index/images/image_2.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:54,663 log 16072 24868 Not Found: /recipes/index/images/bg_1.jpg
WARNING 2024-02-19 22:39:54,665 basehttp 16072 24868 "GET /recipes/index/images/bg_1.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:54,677 log 16072 17244 Not Found: /recipes/index/js/owl.carousel.min.js
WARNING 2024-02-19 22:39:54,678 log 16072 6100 Not Found: /recipes/index/js/jquery.waypoints.min.js
WARNING 2024-02-19 22:39:54,679 basehttp 16072 17244 "GET /recipes/index/js/owl.carousel.min.js HTTP/1.1" 404 2369
WARNING 2024-02-19 22:39:54,680 log 16072 21596 Not Found: /recipes/index/js/jquery.magnific-popup.min.js
WARNING 2024-02-19 22:39:54,684 log 16072 18444 Not Found: /recipes/index/js/jquery.stellar.min.js
WARNING 2024-02-19 22:39:54,687 basehttp 16072 6100 "GET /recipes/index/js/jquery.waypoints.min.js HTTP/1.1" 404 2381
WARNING 2024-02-19 22:39:54,690 basehttp 16072 21596 "GET /recipes/index/js/jquery.magnific-popup.min.js HTTP/1.1" 404 2396
WARNING 2024-02-19 22:39:54,690 basehttp 16072 18444 "GET /recipes/index/js/jquery.stellar.min.js HTTP/1.1" 404 2375
WARNING 2024-02-19 22:39:54,694 log 16072 24868 Not Found: /recipes/index/js/jquery.animateNumber.min.js
WARNING 2024-02-19 22:39:54,695 log 16072 9528 Not Found: /recipes/index/js/aos.js
WARNING 2024-02-19 22:39:54,703 basehttp 16072 9528 "GET /recipes/index/js/aos.js HTTP/1.1" 404 2330
WARNING 2024-02-19 22:39:54,703 basehttp 16072 24868 "GET /recipes/index/js/jquery.animateNumber.min.js HTTP/1.1" 404 2393
INFO 2024-02-19 22:39:54,708 basehttp 16072 24868 - Broken pipe from ('127.0.0.1', 14600)
